st_num,date,year,month,latitude,longitude,elevation,min_temp,max_temp,avg_temp,min_hum,max_hum,avg_hum,avg_ws,inc_rad,sun_duration,G,Ra,Rso,Rn,ET0
17186,2007-01-15,2007,1,38.6153,27.4049,71.0,-2.6,19.7,8.549999999999999,31.0,99.0,65.0,0.9723363977183274,6.087720000000001,2.1,0.0769999999999998,15.86355926083236,11.92019569977465,2.1369049931107305,1.5233165747125583
17186,2007-02-15,2007,2,38.6153,27.4049,71.0,-2.2,18.8,8.3,38.0,99.0,68.5,0.897541290201533,4.025008000000001,1.5,0.3360000000000001,20.94604508715708,15.739277199391571,3.134671835394374,1.511653012532918
17186,2007-03-15,2007,3,38.6153,27.4049,71.0,2.0,24.7,13.35,19.0,98.0,58.5,0.373975537583972,2.435088,1.0,0.5249999999999999,28.37305583364571,21.32008161451806,3.335023457553402,1.1992156867076855
17186,2007-04-15,2007,4,38.6153,27.4049,71.0,3.9,27.7,15.8,21.0,97.0,59.0,0.5983608601343553,2.899512,1.1,0.7139999999999999,35.23401590438723,26.47554423087465,3.741066381065943,1.6692974573778734
17186,2007-05-15,2007,5,38.6153,27.4049,71.0,10.8,36.3,23.55,15.0,84.0,49.5,0.7479510751679441,3.669368,1.3,0.9135000000000004,40.03332589147841,30.081841741374703,4.2065476209236685,2.4203223159232032
17186,2007-06-15,2007,6,38.6153,27.4049,71.0,15.7,42.0,28.85,12.0,96.0,54.0,0.9723363977183274,15.865728,5.8,0.6125,41.80991259235,31.416804520143632,10.070621039168977,4.775497018572459
17186,2007-07-15,2007,7,38.6153,27.4049,71.0,19.1,45.5,32.3,5.0,67.0,36.0,1.1967217202687106,12.2382,4.7,0.1014999999999997,40.73664870886712,30.610332572816933,8.034431610574554,5.32526020425443
17186,2007-08-15,2007,8,38.6153,27.4049,71.0,19.2,41.4,30.3,10.0,73.0,41.5,1.4959021503358882,23.099864000000004,9.0,-0.3254999999999999,36.72475173228065,27.595712946670325,12.504282281914287,6.668009799279061
17186,2007-09-15,2007,9,38.6153,27.4049,71.0,12.9,42.4,27.65,7.0,70.0,38.5,1.271516827785505,12.480872000000002,5.4,-0.7805,30.448345374723356,22.87949568147462,6.508201372172254,5.232019507564176
17186,2007-10-15,2007,10,38.6153,27.4049,71.0,5.9,32.4,19.15,14.0,100.0,57.0,0.897541290201533,7.560488,3.4,-0.9135,22.97160549636534,17.26132380207884,4.028254368627535,2.848533372297641
17186,2007-11-15,2007,11,38.6153,27.4049,71.0,2.1,27.1,14.6,26.0,100.0,63.0,1.1967217202687106,6.225792000000001,2.4,-0.7805,17.088427369302746,12.84058609384147,2.495389489505199,2.4993903750077098
17186,2007-12-15,2007,12,38.6153,27.4049,71.0,-2.1,18.1,8.0,36.0,100.0,68.0,1.121926612751916,5.012432,3.2,-0.6020000000000002,14.436144043322296,10.84760735703324,1.8415530468751395,1.56821023656352
17186,2008-01-15,2008,1,38.6153,27.4049,71.0,-3.5,15.5,6.0,30.0,100.0,65.0,1.0471315052351216,6.179768,4.0,-0.007,15.86355926083236,11.92019569977465,2.200266498491151,1.311943512542339
17186,2008-02-15,2008,2,38.6153,27.4049,71.0,-6.6,22.4,7.899999999999999,16.0,100.0,58.0,1.271516827785505,8.715272,4.7,0.532,20.94604508715708,15.739277199391571,3.565470866250845,2.4230610753322086
17186,2008-03-15,2008,3,38.6153,27.4049,71.0,2.4,24.8,13.6,16.0,100.0,58.0,1.5706972578526823,13.95364,5.6,0.7665000000000003,28.37305583364571,21.32008161451806,6.804435670363113,3.1679984288779863
17186,2008-04-15,2008,4,38.6153,27.4049,71.0,5.0,32.7,18.85,13.0,100.0,56.5,1.271516827785505,15.957776,5.3,0.5739999999999998,35.23401590438723,26.47554423087465,8.781897872003036,4.268885306925498
17186,2008-05-15,2008,5,38.6153,27.4049,71.0,8.3,35.3,21.8,8.0,100.0,54.0,1.1967217202687106,23.677256000000003,9.0,0.6020000000000002,40.03332589147841,30.081841741374703,13.049777778745188,5.420745660891549
17186,2008-06-15,2008,6,38.6153,27.4049,71.0,14.8,40.1,27.450000000000003,7.0,98.0,52.5,1.4959021503358882,26.990984000000005,10.7,0.525,41.80991259235,31.416804520143632,15.534365981836473,6.9204649846766975
17186,2008-07-15,2008,7,38.6153,27.4049,71.0,18.2,40.4,29.3,9.0,69.0,39.0,1.5706972578526823,26.744128000000007,11.1,0.2134999999999998,40.73664870886712,30.610332572816933,14.69570744015358,7.234087827615538
17186,2008-08-15,2008,8,38.6153,27.4049,71.0,20.1,40.9,30.5,8.0,77.0,42.5,1.5706972578526823,23.058024,10.3,-0.3325,36.72475173228065,27.595712946670325,12.804284174280394,6.657526144052213
17186,2008-09-15,2008,9,38.6153,27.4049,71.0,10.7,38.4,24.55,12.0,97.0,54.5,1.1967217202687106,17.735976,7.9,-0.8435000000000001,30.448345374723356,22.87949568147462,8.667665112687835,4.98552872635029
17186,2008-10-15,2008,10,38.6153,27.4049,71.0,8.0,28.9,18.45,21.0,99.0,60.0,1.1967217202687106,12.80304,7.0,-0.5529999999999999,22.97160549636534,17.26132380207884,5.303841587039488,2.994180202598242
17186,2008-11-15,2008,11,38.6153,27.4049,71.0,5.3,28.0,16.65,30.0,99.0,64.5,0.9723363977183274,7.380576000000001,4.4,-0.574,17.088427369302746,12.84058609384147,2.5825262567594462,2.142509024828186
17186,2008-12-15,2008,12,38.6153,27.4049,71.0,-2.6,23.1,10.25,19.0,99.0,59.0,1.0471315052351216,4.0794,1.4,-0.8959999999999999,14.436144043322296,10.84760735703324,1.9238924523433332,2.040626120481271
17227,2011-01-15,2011,1,37.8167,27.8873,32.0,-3.0,16.8,6.9,33.0,99.0,66.0,2.1690581179870376,8.17972,4.8,-0.3080000000000001,16.354078381301296,12.276025396140003,2.248310817191876,2.1991290706828925
